Year,Gross Domestic Product (GDP) - change in volume,GDP current values in 1000000 (R$)
,1970,10.40,289535.73
,1971,11.34,322377.54
,1972,11.94,360870.54
,1973,13.97,411279.55
,1974,8.15,444815.03
,1975,5.17,467797.06
,1976,10.26,515779.61
,1977,4.93,541229.87
,1978,4.97,568128.44
,1979,6.76,606531.42
,1980,9.23,662332.31
,1981,-4.30,634183.19
,1982,0.80,639446.91
,1983,-2.90,620711.11
,1984,5.40,654229.51
,1985,7.80,705586.53
,1986,7.50,758434.96
,1987,3.50,785207.72
,1988,-0.10,784736.59
,1989,3.20,809534.27
,1990,-4.30,774319.53
,1991,1.03,782311.97
,1992,-0.54,778055.63
,1993,4.92,816372.46
,1994,5.85,864153.68
,1995,4.22,900653.75
,1996,2.21,924598.44
,1997,3.39,954845.65
,1998,0.34,956105.25
,1999,0.47,963868.54
,2000,4.39,1005914.80
,2001,1.39,1315755.47
,2002,3.05,1488787.26
,2003,1.14,1717950.40
,2004,5.76,1957751.21
,2005,3.20,2170584.50
,2006,3.96,2409449.94
,2007,6.07,2720262.93
,2008,5.09,3109803.10
,2009,-0.13,3333039.35
,2010,7.53,3885847.00
,2011,3.97,4376382.00
,2012,1.92,4814760.00
,2013,3.00,5331619.00
,2014,0.50,5778953.00
,2015,-3.5,5995787
,2016,-3.3,6269328
,2017,1.3,6585479
,2018,1.8,7004141
,2019,1.1,7300000
,2020,-4.1,7400000
