Year,GDP variation (basis),GDP variation (optimistic),Inflation rate (basis),Inflation rate (optimistic),GDP bassis (in R$ 1.000.000),GDP optimistic (in R$ 1.000.000)
,2021,2.5,3.3,3.6,3.4,7858060,7904102.8
,2022,2.5,3.1,3.4,3.2,8328364.89,8409902.15
,2023,2.3,3.5,3.5,3.3,8818114.39,8991488.93
,2024,2.3,3.5,3.5,3.3,9336663.61,9613295.35
,2025,2.3,3.5,3.5,3.3,9885706.11,10278102.79
,2026,2.3,3.5,3.5,3.3,10467035.06,10988884.98
,2027,2.3,3.5,3.5,3.3,11082549.05,11748821.33
,2028,2.3,3.5,3.5,3.3,11734258.35,12561311.06
,2029,2.3,3.5,3.5,3.3,12424291.41,13429988.53
,2030,2.3,3.5,3.5,3.3,13154901.87,14358739.39
