Indicator,Value,Year
,Diesel oil,12329890.88,1970
,Diesel oil,13518902.81,1971
,Diesel oil,15400147.72,1972
,Diesel oil,18269521.27,1973
,Diesel oil,19963456.08,1974
,Diesel oil,22954988.39,1975
,Diesel oil,27024232.42,1976
,Diesel oil,29497268.66,1977
,Diesel oil,32695113.54,1978
,Diesel oil,34519351.02,1979
,Diesel oil,36101158.69,1980
,Diesel oil,35715905.67,1981
,Diesel oil,36459847.3,1982
,Diesel oil,34908870.44,1983
,Diesel oil,36369202.38,1984
,Diesel oil,37509462.17,1985
,Diesel oil,44166433.13,1986
,Diesel oil,46510240.38,1987
,Diesel oil,47436788.47,1988
,Diesel oil,50245343.14,1989
,Diesel oil,50608295.43,1990
,Diesel oil,52520062.89,1991
,Diesel oil,53454671.89,1992
,Diesel oil,54857963.85,1993
,Diesel oil,57330955.79,1994
,Diesel oil,61047336.09,1995
,Diesel oil,63851163.08,1996
,Diesel oil,67832211.43,1997
,Diesel oil,71095472.88,1998
,Diesel oil,71891240.57,1999
,Diesel oil,74124764.5,2000
,Diesel oil,76218224.78,2001
,Diesel oil,79396381.12,2002
,Diesel oil,76791812.5,2003
,Diesel oil,82132520.74,2004
,Diesel oil,81703467.65,2005
,Diesel oil,82822970.4,2006
,Diesel oil,87002191.63,2007
,Diesel oil,91556774.62,2008
,Diesel oil,89630871.58,2009
,Diesel oil,98431179.09,2010
,Diesel oil,104186621.8,2011
,Diesel oil,110306961.1,2012
,Diesel oil,117650311,2013
,Diesel oil,118529086.8,2014
,Diesel oil,112175614.8,2015
,Diesel oil,108487891.7,2016
,Diesel oil,107756525.8,2017
,Diesel oil,106289873.1,2018
,Diesel oil,108601201.6,2019
,Gasoline,22378180.28,1970
,Gasoline,24357219.01,1971
,Gasoline,27295221.89,1972
,Gasoline,32012479.29,1973
,Gasoline,33215885.28,1974
,Gasoline,33979766.02,1975
,Gasoline,34220695.07,1976
,Gasoline,31100199,1977
,Gasoline,31742345.14,1978
,Gasoline,31572777.08,1979
,Gasoline,26686947.75,1980
,Gasoline,25547557.5,1981
,Gasoline,24335547.93,1982
,Gasoline,20794125.28,1983
,Gasoline,18647346.62,1984
,Gasoline,18350259.1,1985
,Gasoline,20675144.47,1986
,Gasoline,18012014.72,1987
,Gasoline,17640204.49,1988
,Gasoline,19822436.94,1989
,Gasoline,22582832.88,1990
,Gasoline,24472499.74,1991
,Gasoline,24364996.57,1992
,Gasoline,25619200.23,1993
,Gasoline,28043993.99,1994
,Gasoline,33579212.84,1995
,Gasoline,39315104.28,1996
,Gasoline,42989323.79,1997
,Gasoline,44860988.44,1998
,Gasoline,41816855.48,1999
,Gasoline,40272114.35,2000
,Gasoline,39462422.76,2001
,Gasoline,37754897.38,2002
,Gasoline,39826669.9,2003
,Gasoline,41180570.9,2004
,Gasoline,41286610.05,2005
,Gasoline,43850959.41,2006
,Gasoline,43385629.01,2007
,Gasoline,44150501.23,2008
,Gasoline,44561815.89,2009
,Gasoline,53219745.87,2010
,Gasoline,63280450.05,2011
,Gasoline,74261520.9,2012
,Gasoline,74076915.87,2013
,Gasoline,77990872.72,2014
,Gasoline,70626715.49,2015
,Gasoline,73433181.32,2016
,Gasoline,75362849.42,2017
,Gasoline,65466138.23,2018
,Gasoline,65147370.51,2019
,Sum,34708071.16,1970
,Sum,37876121.82,1971
,Sum,42695369.6,1972
,Sum,50282000.56,1973
,Sum,53179341.36,1974
,Sum,56934754.4,1975
,Sum,61244927.49,1976
,Sum,60597467.66,1977
,Sum,64437458.68,1978
,Sum,66092128.1,1979
,Sum,62788106.43,1980
,Sum,61263463.17,1981
,Sum,60795395.23,1982
,Sum,55702995.71,1983
,Sum,55016549,1984
,Sum,55859721.27,1985
,Sum,64841577.6,1986
,Sum,64522255.1,1987
,Sum,65083807.77,1988
,Sum,70072416.54,1989
,Sum,73195485.04,1990
,Sum,76996919.36,1991
,Sum,77819668.46,1992
,Sum,80531623.18,1993
,Sum,85475154.51,1994
,Sum,94733288.76,1995
,Sum,103244688.5,1997
,Sum,110923918.3,1997
,Sum,116244005.4,1998
,Sum,114054455.9,1999
,Sum,115078706.7,2000
,Sum,116926671.6,2001
,Sum,119286929.3,2002
,Sum,119512507.2,2003
,Sum,126756283.8,2004
,Sum,127227902.7,2005
,Sum,131700554.5,2006
,Sum,135964484.3,2008
,Sum,141052163.5,2008
,Sum,138782266.4,2009
,Sum,156025949.8,2010
,Sum,171764524.3,2011
,Sum,188800121.6,2012
,Sum,195806755.7,2013
,Sum,200467644.7,2014
,Sum,186647577.7,2015
,Sum,185866361,2016
,Sum,187414648.4,2017
,Sum,176575881.8,2018
,Sum,178727231.8,2019
,Natural gas,0,1970
,Natural gas,0,1971
,Natural gas,0,1972
,Natural gas,0,1973
,Natural gas,0,1974
,Natural gas,0,1975
,Natural gas,0,1976
,Natural gas,0,1977
,Natural gas,0,1978
,Natural gas,0,1979
,Natural gas,0,1980
,Natural gas,0,1981
,Natural gas,0,1982
,Natural gas,0,1983
,Natural gas,0,1984
,Natural gas,0,1985
,Natural gas,0,1986
,Natural gas,0,1987
,Natural gas,6814.813196,1988
,Natural gas,4636.44937,1989
,Natural gas,4356.727652,1990
,Natural gas,4356.727652,1991
,Natural gas,0,1992
,Natural gas,54459.09564,1993
,Natural gas,100204.736,1994
,Natural gas,106739.8275,1995
,Natural gas,78421.09773,1996
,Natural gas,102383.0998,1997
,Natural gas,287544.025,1998
,Natural gas,346359.8483,1999
,Natural gas,681827.8775,2000
,Natural gas,1246024.108,2001
,Natural gas,2135650.81,2002
,Natural gas,2894024.771,2003
,Natural gas,3443192.122,2004
,Natural gas,4237825.05,2005
,Natural gas,5026624.65,2006
,Natural gas,5576663.696,2007
,Natural gas,5344887.595,2008
,Natural gas,4589578.967,2009
,Natural gas,4375024.85,2010
,Natural gas,4297452.445,2011
,Natural gas,4231639.533,2012
,Natural gas,4079528.893,2013
,Natural gas,3947685.144,2014
,Natural gas,3845247.4,2015
,Natural gas,3945287.985,2016
,Natural gas,4295273.21,2017
,Natural gas,4819870.473,2018
,Natural gas,4978659.677,2019
