Year,GDP bassis (in R$ 1.000.000),GDP optimistic (in R$ 1.000.000),Gas natural basis,Gas natural optimistic,Diesel oil basis,Diesel oil optimistic,Biodiesel basis,Biodiesel optimistic,Petrol basis,Petrol optimistic,Anhydrous ethanol basis,Anhydrous ethanol optimistic,Hydrated ethanol basis,Hydrated ethanol optimistic,Total of Energy consumption (TJ) - basis scenario,Total of Energy consumption (TJ) - optimistic scenario,Total emissions - basis scenario,Total emissions - optimistic scenario
,2020,7400000.0,7400000.0,80091.84914507257,80091.84914507257,1430122.9722350142,1430122.9722350142,141768.85110855623,141768.85110855623,982766.8645208505,982766.8645208505,267492.682905545,267492.682905545,435142.3377643787,435142.3377643787,3337385.557679417,3337385.557679417,183599591.7359446,183599591.7359446
,2021,7858060.0,7904102.8,82974.58742980815,83264.35152686191,1415800.5536577792,1414360.9076418236,153947.4213251924,155171.57421514246,988830.7363488387,989440.258328059,280270.44310227036,281554.82474918413,459083.8202534616,461490.34535923024,3380907.5621173503,3385282.261820302,183128231.9764974,183080852.3250711
,2022,8328364.89,8409902.15,85934.38726367569,86447.5309152376,1401095.267246608,1398545.796069557,166451.5498806051,168619.40397435293,995056.7079967364,996136.1113365726,293389.7792236669,295664.2925087792,483665.3080246391,487927.0267568946,3425592.9996359316,3433340.161561394,182644271.79700717,182560367.1049155
,2023,8818114.39,8991488.93,89016.55910487578,90107.66818241241,1385781.9953237367,1380360.9964752973,179472.65775798462,184082.21547786187,1001540.0905139203,1003835.250512166,307051.53023328725,311887.87983014714,509263.10979359073,518324.8997631648,3472125.9427273953,3488598.9102410497,182140302.43380302,181961893.96882308
,2024,9336663.61,9613295.35,92279.97806530398,94020.92228150059,1369568.2264250363,1360918.6268703311,193259.47190144158,200614.35787651085,1008404.7283486652,1012066.8237399095,321516.66052922886,329233.4095064873,536366.1903296725,550824.9380027618,3521395.255599349,3547679.0782775013,181606697.15152395,181322033.41659445
,2025,9885706.11,10278102.79,95735.30233438869,98204.79744908791,1352401.007061435,1340131.720288354,207857.0194676282,218289.78050363858,1015673.0411201759,1020867.6513748326,336832.41262024443,347778.4692046028,565063.067156971,585572.5162313151,3573561.849760843,3610844.935051831,181041713.21770248,180637923.31093767
,2026,10467035.06,10988884.98,99393.81698353976,102678.00845031317,1334224.2691821945,1317907.2954478902,223312.97597231838,237187.54675620253,1023368.767100831,1030277.1001321498,353048.8076744165,367606.0122686626,595447.4641285948,622723.0627873054,3628796.101041895,3678379.0258425237,180443505.39769697,179906503.57968482
,2027,11082549.05,11748821.33,103267.47053059342,107460.56446940936,1314978.648510398,1294145.9399556904,239677.81976251377,257392.18850324262,1031517.0401298961,1040337.25955194,370218.8075913486,388804.7295656868,627618.6150987083,662442.7563129183,3687278.401623458,3750583.4383588876,179810119.9759996,179124502.4987538
,2028,11734258.35,12561311.06,107368.91433626995,112573.85803493683,1294601.2888080073,1268741.3684961363,257004.99845282678,278994.0817641708,1040144.4724844083,1051093.129054356,388398.48962727335,411469.4436473401,661681.5911147809,704909.2642886295,3749199.7548235664,3827781.145285569,179139488.3144759,178288422.15188652
,2029,12424291.41,13429988.53,111711.54351104025,118040.76149705143,1273025.638636743,1241579.9434995134,275351.1017428113,302089.8542917978,1049279.2409272203,1062592.8208806254,407647.22771506186,435701.5363861904,697747.6401539416,750312.5442883364,3814762.3926868187,3910317.460843515,178429420.16363943,177394522.65554023
,2030,13154901.87,14358739.39,116309.5410316058,123885.72866533317,1250181.2321724666,1212540.170170937,294776.0477938065,326782.8149569317,1058951.1795065056,1074887.7738893442,428027.88801087317,461609.39948618354,735934.5535155771,798855.6880935366,3884180.442030835,3998561.575262266,177677596.44911465,176438805.5399745
