Year,Natural gas,Diesel oil,Biodiesel,Gasoline,Anhydrous ethanol,Hydrated ethanol
,1970,0,3893.955774,0,7368.97609,98.2422,0
,1971,0,4269.462738,0,8020.659512,135.61695,0
,1972,0,4863.586769,0,8988.123026,208.764675,0
,1973,0,5769.775949,0,10541.48244,164.982825,0
,1974,0,6304.744774,0,10937.7555,101.44575,0
,1975,0,7249.513436,0,11189.29601,86.49585,0
,1976,0,8534.638866,0,11268.63224,91.8351,0
,1977,0,9315.659058,0,10241.07501,341.178075,0
,1978,0,10325.58418,0,10452.52918,803.0232,1.01934
,1979,0,10901.70445,0,10396.69162,1184.779575,8.15472
,1980,0,11401.26192,0,8787.822665,1202.933025,218.64843
,1981,0,11279.59351,0,8412.629536,611.87805,709.46064
,1982,0,11514.54091,0,8013.523378,1079.062425,853.18758
,1983,0,11024.72025,0,6847.358009,1173.033225,1503.5265
,1984,0,11485.91395,0,6140.439021,1111.63185,2331.74025
,1985,0,11846.02429,0,6042.610207,1132.454925,3102.87096
,1986,0,13948.39087,0,6808.178473,1303.84485,4279.69899
,1987,0,14688.5987,0,5931.22873,1140.4638,4545.74673
,1988,2.7518988,14981.21583,0,5808.794258,1049.69655,4974.3792
,1989,1.8722508,15868.19754,0,6527.387931,866.02635,5641.02756
,1990,1.759296,15982.82306,0,7436.36674,650.32065,5204.75004
,1991,1.759296,16586.58655,0,8058.620637,879.374475,5224.62717
,1992,0,16881.74943,0,8023.220605,1188.51705,4784.27229
,1993,21.9912,17324.92909,0,8436.22098,1297.43775,4931.05725
,1994,40.463808,18105.93529,0,9234.68837,1669.04955,4974.3792
,1995,43.102752,19279.62131,0,11057.39669,1800.3951,5069.17782
,1996,31.667328,20165.10995,0,12946.18507,2164.53195,4987.12095
,1997,41.343456,21422.38192,0,14156.0795,2677.09995,4232.80935
,1998,116.113536,22452.96653,0,14772.4054,2849.557725,3933.12339
,1999,139.864032,22704.28134,0,13769.994,3204.61785,3593.68317
,2000,275.329824,23409.66012,0,13261.3217,3046.042125,2774.13381
,2001,503.158656,24070.8048,0,12994.696,3207.8214,2169.66519
,2002,862.4,25074.512,0,12432.42,3871.7136,2215.134
,2003,1168.64,24251.952,0,13114.64,3875.238,1918.671
,2004,1390.4,25938.624,0,13560.47,3978.834,2465.85
,2005,1711.281782,25803.1229,0.43153516,13595.38794,4078.520586,2884.71351
,2006,2029.808,26156.67787,42.30943583,14439.81,2776.843788,3618.26946
,2007,2251.92,27476.53567,247.440538,14286.58,3325.22868,5286.65949
,2008,2158.326184,28914.93808,696.3229651,14538.447,3532.8906,7480.017
,2009,1853.324,28306.71037,987.3668544,14673.89,3392.113481,8400.183568
,2010,1766.684616,31085.97327,1450.305102,17524.88495,3789.778776,8243.13
,2011,1735.36,32903.62434,1573.222289,20837.8035,4504.488648,6230.30841
,2012,1708.784,34836.51498,1695.746863,24453.79227,4143.54363,5762.63382
,2013,1647.36,37155.64982,1794.739728,24393.00314,5172.343208,6716.7
,2014,1594.12,37433.17979,2080.460888,25681.84138,5882.396616,7125.90768
,2015,1552.754478,35426.66251,2434.225392,23256.87662,5841.989904,9582.25026
,2016,1593.152,34262.02684,2408.560012,24181.02592,5927.54418,7952.93235
,2017,1734.48,34031.05105,2678.769081,24816.45194,6446.216187,7402.275218
,2018,1946.31832,33567.86115,3369.040544,21557.53512,5454.427387,10263.11584
,2019,2010.4392,34297.81174,3693.624947,21452.56717,5635.633614,11855.90523
