Year,Natural gas,Diesel oil,Biodiesel,Gasoline,Anhydrous ethanol,Hydrated ethanol,Sum (10³ toe),Natural gas (TJ),Diesel oil (TJ),Biodiesel (TJ),Gasoline (TJ),Anhydrous ethanol (TJ),Hydrated ethanol (TJ),Sum (TJ),Natural gas (emissions),Diesel oil (emissions),Gasoline (emissions),Sum (emissions)
,1970,0.0,3893.955774,0.0,7368.976090000001,98.2422,0.0,13331.174064000003,0.0,163546.142508,0.0,309496.99578000006,4126.1723999999995,0.0,477169.310688,0.0,12329890.875206377,22378180.279872905,34708071.15507928
,1971,0.0,4269.462738,0.0,8020.659512,135.61695,0.0,14396.7392,0.0,179317.434996,0.0,336867.699504,5695.9119,0.0,521881.04640000005,0.0,13518902.810039936,24357219.012636725,37876121.82267666
,1972,0.0,4863.586769,0.0,8988.123026000001,208.764675,0.0,16032.474470000001,0.0,204270.64429799997,0.0,377501.167092,8768.11635,0.0,590539.92774,0.0,15400147.717206087,27295221.886587065,42695369.60379315
,1973,0.0,5769.775949,0.0,10541.48244,164.982825,0.0,18449.241213999998,0.0,242330.589858,0.0,442742.26248,6929.278649999999,0.0,692002.130988,0.0,18269521.26692549,32012479.2886164,50282000.55554189
,1974,0.0,6304.744774,0.0,10937.7555,101.44575,0.0,19317.946023999997,0.0,264799.280508,0.0,459385.73099999997,4260.721500000001,0.0,728445.733008,0.0,19963456.07685058,33215885.279955,53179341.35680558
,1975,0.0,7249.513436,0.0,11189.29601,86.49585,0.0,20500.305296,0.0,304479.564312,0.0,469950.43242,3632.8257000000003,0.0,778062.8224320001,0.0,22954988.38508956,33979766.01612811,56934754.40121767
,1976,0.0,8534.638866,0.0,11268.63224,91.8351,0.0,21871.106206,0.0,358454.832372,0.0,473282.55408000003,3857.0742,0.0,835594.460652,0.0,27024232.421874214,34220695.072754405,61244927.49462862
,1977,0.0,9315.659058,0.0,10241.075009999999,341.178075,0.0,21874.912142999998,0.0,391257.680436,0.0,430125.15041999996,14329.47915,0.0,835712.310006,0.0,29497268.65998243,31100199.0011181,60597467.66110054
,1978,0.0,10325.58418,0.0,10452.52918,803.0232,1.01934,23560.155899999998,0.0,433674.53556,0.0,439006.22556,33726.9744,42.812279999999994,906450.5477999998,0.0,32695113.542950403,31742345.139115803,64437458.6820662
,1979,0.0,10901.70445,0.0,10396.69162,1184.779575,8.15472,24470.330364999998,0.0,457871.5869,0.0,436661.04803999997,49760.74215,342.49823999999995,944635.87533,0.0,34519351.02081921,31572777.0785322,66092128.099351406
,1980,0.0,11401.26192,0.0,8787.822665,1202.933025,218.64843,23590.66604,0.0,478853.00064000004,0.0,369088.55192999996,50523.18705,9183.234059999999,907647.97368,0.0,36101158.68595018,26686947.74729865,62788106.43324883
,1981,0.0,11279.593509999999,0.0,8412.629536,611.87805,709.46064,22994.561736,0.0,473742.92741999996,0.0,353330.440512,25698.8781,29797.34688,882569.5929119999,0.0,35715905.666828476,25547557.501220163,61263463.168048635
,1982,0.0,11514.54091,0.0,8013.523378,1079.062425,853.18758,23442.314293000003,0.0,483610.71822,0.0,336567.981876,45320.62185,35833.87836,901333.200306,0.0,36459847.2962522,24335547.929544184,60795395.22579639
,1983,0.0,11024.72025,0.0,6847.3580090000005,1173.033225,1503.5265,22531.637984,0.0,463038.2505,0.0,287589.03637800005,49267.395449999996,63148.113,863042.795328,0.0,34908870.43962045,20794125.275311295,55702995.71493174
,1984,0.0,11485.91395,0.0,6140.439021,1111.63185,2331.74025,23053.725071,0.0,482408.3859,0.0,257898.43888200002,46688.5377,97933.09049999999,884928.4529820001,0.0,36369202.38054831,18647346.623363014,55016549.00391133
,1985,0.0,11846.024290000001,0.0,6042.610207,1132.454925,3102.87096,24108.960381999997,0.0,497533.02018000005,0.0,253789.62869399998,47563.10685,130320.58032000001,929206.336044,0.0,37509462.17108837,18350259.102719672,55859721.27380804
,1986,0.0,13948.39087,0.0,6808.178473000001,1303.84485,4279.69899,28326.113183,0.0,585832.41654,0.0,285943.495866,54761.4837,179747.35757999998,1106284.7536860001,0.0,44166433.13212549,20675144.46859113,64841577.60071662
,1987,0.0,14688.5987,0.0,5931.22873,1140.4638,4545.74673,28293.03796,0.0,616921.1454,0.0,249111.60666,47899.4796,190921.36265999998,1104853.5943200001,0.0,46510240.380736865,18012014.719551302,64522255.10028817
,1988,2.7518987999999998,14981.215830000001,0.0,5808.794258,1049.69655,4974.3792,28804.837736800004,115.57974959999999,629211.06486,0.0,243969.358836,44087.255099999995,208923.92640000003,1126307.1849456,6814.8131959152,47436788.46975378,17640204.490636982,65083807.773586676
,1989,1.8722508000000002,15868.197540000001,0.0,6527.387931,866.02635,5641.02756,30893.5116318,78.63453360000001,666464.29668,0.0,274150.293102,36373.1067,236923.15752,1213989.4885356,4636.449370123201,50245343.14457221,19822436.942740113,70072416.53668246
,1990,1.759296,15982.823059999999,0.0,7436.36674,650.32065,5204.75004,31266.019786,73.890432,671278.56852,0.0,312327.40308,27313.4673,218599.50168,1229592.8310119999,4356.727651584,50608295.43143447,22582832.879699405,73195485.03878546
,1991,1.759296,16586.58655,0.0,8058.620637000001,879.374475,5224.627170000001,32741.968128,73.890432,696636.6351,0.0,338462.066754,36933.72795,219434.34114000003,1291540.661376,4356.727651584,52520062.89316059,24472499.736647975,76996919.35746014
,1992,0.0,16881.74943,0.0,8023.2206049999995,1188.51705,4784.27229,32869.759374999994,0.0,709033.47606,0.0,336975.26541,49917.7161,200939.43618,1296865.89375,0.0,53454671.890291855,24364996.56547005,77819668.45576191
,1993,21.9912,17324.92909,0.0,8436.22098,1297.43775,4931.05725,34004.63627,923.6304,727647.0217800001,0.0,354321.28116,54492.385500000004,207104.4045,1344488.72334,54459.09564480001,54857963.854313806,25619200.234273802,80531623.18423241
,1994,40.463808,18105.93529,0.0,9234.68837,1669.04955,4974.3792,36018.516218000004,1699.479936,760449.2821800001,0.0,387856.91154,70100.0811,208923.92640000003,1429029.6811560001,100204.735986432,57330955.78790417,28043993.988899704,85475154.5127903
,1995,43.102752,19279.62131,0.0,11057.396690000001,1800.3951,5069.17782,39244.693671999994,1810.3155840000002,809744.0950199999,0.0,464410.66098000004,75616.59419999999,212905.46844,1564487.1342239997,106739.82746380802,61047336.09324331,33579212.842158906,94733288.76286602
,1996,31.667328,20165.10995,0.0,12946.18507,2164.53195,4987.12095,42290.615248,1330.0277760000001,846934.6179,0.0,543739.7729399999,90910.3419,209459.0799,1692373.840416,78421.09772851202,63851163.084637105,39315104.2824267,103244688.46479231
,1997,41.343456,21422.38192,0.0,14156.0795,2677.09995,4232.80935,44526.714176,1736.4251520000003,899740.04064,0.0,594555.339,112438.1979,177777.99270000003,1786247.995392,102383.09981222403,67832211.42988618,42989323.786395006,110923918.31609342
,1998,116.11353600000001,22452.96653,0.0,14772.4054,2849.557725,3933.1233899999997,46122.166581,4876.768512000001,943024.59426,0.0,620441.0268,119681.42445,165191.18237999998,1853214.996402,287544.02500454406,71095472.88339624,44860988.442774005,116244005.3511748
