Indicator,Value ,Year
,Natural gas (TJ),0,1970
,Diesel oil (TJ),163546.1425,1970
,Biodiesel (TJ),0,1970
,Gasoline (TJ),309496.9958,1970
,Anhydrous ethanol (TJ),4126.1724,1970
,Hydrated ethanol (TJ),0,1970
,Energy Consumption: Sum (TJ),477169.3107,1970
,Emissions:Natural Gas (tons of CO2eq),0,1970
,Emissions: Diesel oil (tons of CO2eq),12329890.88,1970
,Emissions: Gasoline (tons of CO2eq),22378180.28,1970
,Emissions: Sum (tons of CO2eq),34708071.16,1970
,Natural gas (TJ),0,1971
,Diesel oil (TJ),179317.435,1971
,Biodiesel (TJ),0,1971
,Gasoline (TJ),336867.6995,1971
,Anhydrous ethanol (TJ),5695.9119,1971
,Hydrated ethanol (TJ),0,1971
,Energy Consumption: Sum (TJ),521881.0464,1971
,Emissions:Natural Gas (tons of CO2eq),0,1971
,Emissions: Diesel oil (tons of CO2eq),13518902.81,1971
,Emissions: Gasoline (tons of CO2eq),24357219.01,1971
,Emissions: Sum (tons of CO2eq),37876121.82,1971
,Natural gas (TJ),0,1972
,Diesel oil (TJ),204270.6443,1972
,Biodiesel (TJ),0,1972
,Gasoline (TJ),377501.1671,1972
,Anhydrous ethanol (TJ),8768.11635,1972
,Hydrated ethanol (TJ),0,1972
,Energy Consumption: Sum (TJ),590539.9277,1972
,Emissions:Natural Gas (tons of CO2eq),0,1972
,Emissions: Diesel oil (tons of CO2eq),15400147.72,1972
,Emissions: Gasoline (tons of CO2eq),27295221.89,1972
,Emissions: Sum (tons of CO2eq),42695369.6,1972
,Natural gas (TJ),0,1973
,Diesel oil (TJ),242330.5899,1973
,Biodiesel (TJ),0,1973
,Gasoline (TJ),442742.2625,1973
,Anhydrous ethanol (TJ),6929.27865,1973
,Hydrated ethanol (TJ),0,1973
,Energy Consumption: Sum (TJ),692002.131,1973
,Emissions:Natural Gas (tons of CO2eq),0,1973
,Emissions: Diesel oil (tons of CO2eq),18269521.27,1973
,Emissions: Gasoline (tons of CO2eq),32012479.29,1973
,Emissions: Sum (tons of CO2eq),50282000.56,1973
,Natural gas (TJ),0,1974
,Diesel oil (TJ),264799.2805,1974
,Biodiesel (TJ),0,1974
,Gasoline (TJ),459385.731,1974
,Anhydrous ethanol (TJ),4260.7215,1974
,Hydrated ethanol (TJ),0,1974
,Energy Consumption: Sum (TJ),728445.733,1974
,Emissions:Natural Gas (tons of CO2eq),0,1974
,Emissions: Diesel oil (tons of CO2eq),19963456.08,1974
,Emissions: Gasoline (tons of CO2eq),33215885.28,1974
,Emissions: Sum (tons of CO2eq),53179341.36,1974
,Natural gas (TJ),0,1975
,Diesel oil (TJ),304479.5643,1975
,Biodiesel (TJ),0,1975
,Gasoline (TJ),469950.4324,1975
