Value,Year
,477169.3107,1970
,521881.0464,1971
,590539.9277,1972
,692002.131,1973
,728445.733,1974
,778062.8224,1975
,835594.4607,1976
,835712.31,1977
,906450.5478,1978
,944635.8753,1979
,907647.9737,1980
,882569.5929,1981
,901333.2003,1982
,863042.7953,1983
,884928.453,1984
,929206.336,1985
,1106284.754,1986
,1104853.594,1987
,1126307.185,1988
,1213989.489,1989
,1229592.831,1990
,1291540.661,1991
,1296865.894,1992
,1344488.723,1993
,1429029.681,1994
,1564487.134,1995
,1692373.84,1996
,1786247.995,1997
,1853214.996,1998
,1823322.496,1999
,1796192.478,2000
,1803738.134,2001
,1867159.543,2002
,1861823.922,2003
,1988035.476,2004
,2019085.247,2005
,2060676.179,2006
,2220723.304,2007
,2407479.557,2008
,2419770.707,2009
,2682151.782,2010
,2846961.902,2011
,3049242.654,2012
,3228951.428,2013
,3351512.067,2014
,3279979.885,2015
,3205660.135,2016
,3238588.226,2017
,3198648.531,2018
,3315731.24,2019
