Year,Tricycle and Quadricycle,Side-car,Motorcycles, moped and scooters,Automobile,Utility,Pickup Truck,Bus and minibus,Tram,Heavy vehicles (except buses and minibuses),Tractors,Others,Total
,2001,696,1130,4610605,21236011,3389,3318938,414216,333,2313647,9439,4599,31913003
,2002,1026,2486,5375699,22486611,6510,3507026,441797,287,2448918,10287,4320,34284967
,2003,1423,3788,6220156,23669032,25341,3670707,466694,238,2585975,11044,4103,36658501
,2004,1780,4804,7121696,24936451,36759,3880536,493973,227,2749158,11661,3830,39240875
,2005,2097,5646,8153069,26309256,52606,4116390,519633,222,2896939,12405,3698,42071961
,2006,2485,6710,9444037,27868564,74158,4364626,551976,216,3043003,13371,3494,45372640
,2007,3032,7825,11154985,29851610,111524,4677100,590152,210,3229854,14750,2983,49644025
,2008,4398,8373,13079701,32054684,169691,5073597,633122,180,3459598,16827,6490,54506661
,2009,6569,8405,14688678,34536667,216415,5539372,673084,137,3666373,18826,7116,59361642
,2010,10411,8418,16490178,37188341,269217,6144733,722682,126,3954202,21834,7832,64817974
,2011,14992,8491,18427421,39832919,340747,6829326,783358,93,4272979,24845,8364,70543535
,2012,19206,8505,20061656,42682111,407685,7527083,833742,62,4560759,27229,9153,76137191
,2013,22769,8509,21574646,45444387,482027,8248964,888393,48,4892309,28571,10106,81600729
,2014,25673,8510,23002202,47946665,563861,8978708,935626,46,5198474,29724,11001,86700490
,2015,28574,8519,24273107,49822709,637211,9497046,965931,45,5411116,30580,12098,90686936
,2016,31066,8524,25271661,51296982,707152,9934092,984847,44,5588435,31104,13109,93867016
,2017,32951,8524,26126751,52916160,791763,10400227,1002769,43,5767189,31571,14008,97091956
,2018,34996,8525,27065794,54715488,887042,10970139,1025897,42,5991339,32156,15135,100746553
